Original JSON Order,Default State,Policy Override State,Description,Countries,GUID
11,disabled,enabled,V2: Third parties can customize the Taskbar Gleam.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{7de951fb-a68f-4cb0-b67b-ae6fbdec83ed}
12,disabled,disabled,Third parties can customize the Taskbar Gleam.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{9a9f7273-6d5d-4da8-a8e6-bc3243b84d21}
13,enabled,enabled,V2: First party Taskbar Gleam customization is shown.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{17bcdbb5-6003-4b4a-8da8-db163a9869d5}
14,enabled,disabled,First party Taskbar Gleam customization is shown.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{61bf5046-c5db-4cd3-b6bf-929e5b421a6a}
15,disabled,enabled,Search MRU shows third party provider.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{407a6a2a-4c34-4945-bd24-cd194635abae}
16,disabled,enabled,Edge is required for web search.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{5436f3c3-803e-447d-9bd2-b533888df09f}
17,disabled,enabled,System components are differentiated from apps.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{b162c44a-5d51-4fb4-aadd-6b8bf3ea4648}
18,disabled,enabled,Backup options are restricted.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{4492387d-5ea5-4e72-9ca0-69067d19502c}
19,enabled,disabled,Show files from the MS Office MRU redommendation provider.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{c053478a-fd9a-4bbf-a794-4ebef4bbf764}
20,disabled,enabled,Third party feed is shown in Widgets.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{16d2b50e-fa7c-4bb1-ab17-01d766530b3b}
21,enabled,disabled,Third party Widgets are shown in Widgets feed.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{93f5099b-feeb-42c1-984b-c34851e100aa}
22,disabled,enabled,First party Widget feed can be disabled.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{92ca7dcf-f422-4a4b-892e-7883a3ca8d70}
23,disabled,enabled,Use default web protocol for Widget links.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{3d0c862c-bfd8-4350-af2f-4c42884cc3a8}
24,disabled,enabled,Restrict Widgets data sharing.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{0dcb52b1-6b3f-4e95-8049-bf2281ae2eda}
25,disabled,enabled,Restrict third-party Widgets data sharing.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{4323bb73-d394-4c3a-b9df-224ab359844f}
26,disabled,enabled,UTC events should be tagged restricted.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{dd5d7e7c-3ad7-4e38-b11b-a566f1510d00}
27,enabled,disabled,XBox performance fit data sharing.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{cd69e9e4-3778-4418-ba1d-bf0116eeeebe}
